--- 0x89702330..0x89702E24  159 noms ---
  0x89703070  matchoutcome
  0x89703080  objectives
  0x8970308C  tournamentcrowdstate
  0x897030A4  tournamenttype
  0x897030B4  skillmoves
  0x897030C0  usercaneditname
  0x897030D0  trait2
  0x897030D8  trait1
  0x897030E0  finishingcode2
  0x897030F0  finishingcode1
  0x89703100  runningcode2
  0x89703110  runningcode1
  0x89703120  accessorycolorcode4
  0x89703134  accessorycode4
  0x89703144  accessorycolorcode3
  0x89703158  accessorycode3
  0x89703168  accessorycolorcode2
  0x8970317C  accessorycode2
  0x8970318C  accessorycolorcode1
  0x897031A0  accessorycode1
  0x897031B0  isretiring
  0x897031BC  attackingworkrate
  0x897031D0  defensiveworkrate
  0x897031E4  playerjointeamdate
  0x897031F8  hashighqualityhead
  0x8970320C  hasseasonaljersey
  0x89703220  gksavetype
  0x8970322C  gkkickstyle
  0x89703238  animfreekickstartposcode
  0x89703254  animpenaltiesstartposcode
  0x89703270  animpenaltiesmotionstylecode
  0x89703290  animpenaltieskickstylecode
  0x897032AC  weakfootabilitytypecode
  0x897032C4  internationalrep
  0x897032D8  socklengthcode
  0x897032E8  shortstyle
  0x897032F4  shoetypecode
  0x89703304  shoecolorcode1
  0x89703314  shoecolortypecode
  0x89703328  gkglovetypecode
  0x89703338  jerseysleevelengthcode
  0x89703350  faceposercode
  0x89703360  eyecolorcode
  0x89703370  eyebrowcode
  0x8970337C  jerseystylecode
  0x8970338C  skintonecode
  0x8970339C  skintypecode
  0x897033AC  sideburnscode
  0x897033BC  facialhairtypecode
  0x897033D0  facialhaircolorcode
  0x897033E4  haircolorcode
  0x897033F4  headclasscode
  0x89703404  headtypecode
  0x89703414  hairtypecode
  0x89703424  bodytype
  0x89703430  nationality
  0x8970343C  overallrating
  0x8970344C  volleys
  0x89703454  vision
  0x8970345C  interceptions
  0x8970346C  strength
  0x89703478  standingtackle
  0x89703488  stamina
  0x89703490  sprintspeed
  0x8970349C  slidingtackle
  0x897034AC  shotpower
  0x897034B8  shortpassing
  0x897034C8  reactions
  0x897034D4  potential
  0x897034E0  positioning
  0x897034EC  penalties
  0x897034F8  marking
  0x89703500  longshots
  0x8970350C  longpassing
  0x89703518  jumping
  0x89703520  headingaccuracy
  0x89703530  gkreflexes
  0x8970353C  gkpositioning
