--- 0x89702330..0x89702E24  159 noms ---
  0x8970A8A8  TXT_EASFC_ACTION_GO_TO_COOP_SEASONS
  0x8970A8CC  coop_season
  0x8970A8D8  TXT_EASFC_ACTION_GO_TO_SEASONS
  0x8970A8F8  online_season
  0x8970A908  fut_totw
  0x8970A914  fut_single_tournament
  0x8970A92C  fut_online_tournament
  0x8970A944  fut_single_season
  0x8970A958  fut_online_season
  0x8970A96C  fut_auction
  0x8970A978  fut_store
  0x8970A984  fut_club
  0x8970A990  fut_squad
  0x8970A99C  TXT_EASFC_ACTION_GO_TO_FUT
  0x8970A9B8  fut_home
  0x8970A9C4  LOGO_DARK
--- 0x8970B424..0x8970B9E8  48 noms ---
  0x8970B424  INTL_PAP_DEBUT_CLEANSHEET_GK
  0x8970B444  TEAM_LAST_SEASON_PROMOTED
  0x8970B460  TEAM_LAST_SEASON_RELEGATED
  0x8970B47C  INTL_AT_ROUND_ABOVEGOAL_LOSS
  0x8970B49C  INTL_AT_ROUND_ISGOAL_LOSS
  0x8970B4B8  INTL_AT_ROUND_BELOWGOAL_LOSS
  0x8970B4D8  INTL_AT_QUARTER_ABOVEGOAL_LOSS
  0x8970B4F8  INTL_AT_QUARTER_ISGOAL_LOSS
  0x8970B514  INTL_AT_QUARTER_BELOWGOAL_LOSS
  0x8970B534  INTL_AT_SEMI_ABOVEGOAL_LOSS
  0x8970B550  INTL_AT_SEMI_ISGOAL_LOSS
  0x8970B56C  INTL_AT_SEMI_BELOWGOAL_LOSS
  0x8970B588  INTL_AT_FINALS_ABOVEGOAL_LOSS
  0x8970B5A8  INTL_AT_FINALS_ABOVEGOAL_WIN
  0x8970B5C8  INTL_AT_FINALS_ISGOAL_LOSS
  0x8970B5E4  INTL_AT_FINALS_ISGOAL_WIN
  0x8970B600  INTL_PAP_WON_MOTM
  0x8970B614  INTL_PAP_WON_TOPSCORER
  0x8970B62C  INTL_PAP_WON_GOLDENGLOVE
  0x8970B648  INTL_PAP_DEBUT_CLEANSHEET_DEFENSE
  0x8970B66C  INTL_PAP_DEBUT_MATCHRATING_HIGH
  0x8970B68C  INTL_PAP_DEBUT_MATCHRATING_MED
  0x8970B6AC  INTL_PAP_DEBUT_MATCHRATING_LOW
  0x8970B6CC  INTL_MANAGER_DEBUT_TEAM_NOT_FAVORED_LOSS
  0x8970B6F8  INTL_MANAGER_DEBUT_TEAM_NOT_FAVORED_DRAW
  0x8970B724  INTL_MANAGER_DEBUT_TEAM_NOT_FAVORED_WIN
  0x8970B74C  INTL_MANAGER_DEBUT_TEAM_FAVOR_EVEN_LOSS
  0x8970B774  INTL_MANAGER_DEBUT_TEAM_FAVOR_EVEN_DRAW
  0x8970B79C  INTL_MANAGER_DEBUT_TEAM_FAVOR_EVEN_WIN
  0x8970B7C4  INTL_MANAGER_DEBUT_TEAM_FAVORED_LOSS
  0x8970B7EC  INTL_MANAGER_DEBUT_TEAM_FAVORED_DRAW
  0x8970B814  INTL_MANAGER_DEBUT_TEAM_FAVORED_WIN
  0x8970B838  FIRST_VS_FOURTH
  0x8970B848  PLAYER_LEAGUE_PLAYER_OF_THE_MONTH
  0x8970B86C  PLAYER_TEAM_PLAYER_OF_THE_MONTH
  0x8970B88C  PLAYER_GOLDEN_BOOT
  0x8970B8A0  PLAYER_YOUTH_PLAYER_DATA
  0x8970B8BC  PLAYER_PLAYING_WITH_INJURY
  0x8970B8D8  PLAYER_BAD_MORALE
  0x8970B8EC  PLAYER_GREAT_FORM
  0x8970B900  PLAYER_BIRTHDAY_TODAY
  0x8970B918  PLAYER_REDS_THIS_SEASON
  0x8970B930  PLAYER_YELLOWS_THIS_SEASON
  0x8970B94C  PLAYER_ALL_GOALS_THIS_SEASON
  0x8970B96C  PLAYER_LEAGUE_RETURNED_FROM_SUSPENSION
  0x8970B994  PLAYER_LEAGUE_ONE_YELLOW_FROM_SUSPENSION
  0x8970B9C0  PLAYER_LEAGUE_FIRST_EVER_GAME_FOR_TEAM
  0x8970B9E8  PLAYER_LEAGUE_FIRST_EVER_GAME
--- 0x8970BAA4..0x8970BEE4  47 noms ---
  0x8970BAA4  PLAYER_LEAGUE_TOP_SCORER_IN_LEAGUE
  0x8970BAC8  PLAYER_LEAGUE_TOP_SCORER_FOR_TEAM
  0x8970BAEC  PLAYER_LEAGUE_GOALS_IN_LAST_X_GAMES
  0x8970BB10  PLAYER_LEAGUE_GOALS_THIS_SEASON
  0x8970BB30  PLAYER_LEAGUE_GOALS_LAST_SEASON
  0x8970BB50  FIXTURE_MATCH_IMPORTANCE
  0x8970BB6C  TEAM_CLINCHED_GROUPING
  0x8970BB84  TEAM_HIGHEST_POSSIBLE_FINISH
  0x8970BBA4  TEAM_HIGHEST_PROBABLE_FINISH
  0x8970BBC4  CUP_NEXTGAME_DERBY
  0x8970BBD8  CUP_NEXTGAME_RIVALS
  0x8970BBEC  YET_TO_WIN_IN_LEAGUE
  0x8970BC04  BELOW_EXPECTATIONS_PRESSURE
  0x8970BC20  EXCEEDING_EXPECTATIONS_GLORY
  0x8970BC40  YET_TO_WIN
  0x8970BC4C  UNBEATEN_AWAY_LEAGUE
  0x8970BC64  UNBEATEN_HOME_LEAGUE
  0x8970BC7C  UNBEATEN_LEAGUE
  0x8970BC8C  UNBEATEN_ALL_COMPS
  0x8970BCA0  RELEGATION_ZONE_CLASH
  0x8970BCB8  LAST_VS_SECONDLAST
  0x8970BCCC  LOWLY_TEAM_CLASH
  0x8970BCE0  HIGH_TEAM_CLASH
  0x8970BCF0  SECOND_VS_THIRD
  0x8970BD00  FIRST_VS_LAST
  0x8970BD10  FIRST_VS_THIRD
  0x8970BD20  FIRST_VS_SECOND
  0x8970BD30  SEASON_BOTTOM_PLACE
  0x8970BD44  SEASON_LEADER
  0x8970BD54  TEAM_LAST_SEASON_RESULTS_CLASH
  0x8970BD74  TEAM_LAST_SEASON_CHAMPION
  0x8970BD90  TEAM_LAST_SEASON_RESULTS
  0x8970BDAC  CAN_STILL_ADD_TO_SQUAD
  0x8970BDC4  LAST_GAME_RESULTS
  0x8970BDD8  DERBY_GAME
  0x8970BDE4  RIVALS
  0x8970BDEC  TEAMS_VS_TEAM_SKILL
  0x8970BE00  SUPERCUP_NEXT_GAME
  0x8970BE14  TEAM_ACTUAL_LEAGUE_GROUPING
  0x8970BE30  TEAM_PREDICTION_VS_EXPECTATION
  0x8970BE50  TEAM_ACTUAL_VS_EXPECTATION
  0x8970BE6C  TEAM_FORM
  0x8970BE78  TEAM_EXPECTATION_CLASH
  0x8970BE90  TEAM_EXPECTATION
  0x8970BEA4  CAREER_TIMELINE_SLICE_INTERNATIONAL
  0x8970BEC8  CAREER_TIMELINE_SLICE_ANY
  0x8970BEE4  CAREER_TIMELINE_SLICE_SUPERCUP
--- 0x8970C3B4..0x8970CB98  104 noms ---
  0x8970C3B4  CAREER_TIMELINE_SLICE_PRESEASON_GAME2
  0x8970C3DC  CAREER_TIMELINE_SLICE_PRESEASON_GAME1
  0x8970C404  SSSFLAG_UP_FOR_GRABS_SCENARIO_CHANGE
  0x8970C42C  SSSFLAG_GD_CHANGED
  0x8970C440  SSSFLAG_COMPITITOR_CHANGED
  0x8970C45C  SSSFLAG_NONE
  0x8970C46C  TRIGGER_SSS_FULLTIME
  0x8970C484  TRIGGER_SSS_HALFTIME
  0x8970C49C  TRIGGER_SSS_ELSEWHERE
  0x8970C4B4  TRIGGER_SSS_BANTER
  0x8970C4C8  TRIGGER_SSS_GOAL_SCORED
  0x8970C4E0  TRIGGER_SSS_GOAL_CONCEDED
  0x8970C4FC  TRIGGER_SSS_KICKOFF
  0x8970C510  TRIGGER_SSS_INTRO
  0x8970C524  TRIGGER_GAMEPLAY_GOAL_HIGH_INTENSITY
  0x8970C54C  TRIGGER_GAMEPLAY_GOAL_NORMAL
  0x8970C56C  TRIGGER_GAMEPLAY_CORNER_HIGH_INTENSITY
  0x8970C594  TRIGGER_GAMEPLAY_CORNER_NORMAL
  0x8970C5B4  TRIGGER_PREMATCH_STITCH
  0x8970C5CC  TRIGGER_PLAYERINFO_PREMATCH
  0x8970C5E8  TRIGGER_POST_LOSS_DOWN3PLUSGOALS
  0x8970C60C  TRIGGER_POST_WIN_UP3PLUSGOALS
  0x8970C62C  TRIGGER_POST_MOTM
  0x8970C640  TRIGGER_POST_TOPSCORER
  0x8970C658  TRIGGER_POST_GOLDENGLOVE
  0x8970C674  TRIGGER_POST_CLEANSHEET
  0x8970C68C  TRIGGER_POST_MATCHRATING_HIGH
  0x8970C6AC  TRIGGER_POST_MATCHRATING_MED
  0x8970C6CC  TRIGGER_POST_MATCHRATING_LOW
  0x8970C6EC  TRIGGER_POST_LOSS
  0x8970C700  TRIGGER_POST_DRAW
  0x8970C714  TRIGGER_POST_WIN
  0x8970C728  TRIGGER_PREMATCH
  0x8970C73C  VERY_HIGH
  0x8970C748  HIGH
  0x8970C750  MED
  0x8970C754  LOW
  0x8970C758  GAP_RESULT_MAX
  0x8970C768  GAP_RESULT_IMPOSSIBLE
  0x8970C780  GAP_RESULT_UNLIKELY
  0x8970C794  GAP_RESULT_POSSIBLE
  0x8970C7A8  GAP_RESULT_LIKELY
  0x8970C7BC  GAP_RESULT_VERY_LIKELY
  0x8970C7D4  EXPECTATIONS_MAX
  0x8970C7E8  EXPECTATION_FAR_BELOW
  0x8970C800  EXPECTATION_BELOW
  0x8970C814  EXPECTATION_LITTLE_BELOW
  0x8970C830  EXPECTATION_MEETING
  0x8970C844  EXPECTATION_EXCEEDING
  0x8970C85C  TEAMFORM_MAX
  0x8970C86C  TEAMFORM_TERRIBLE
  0x8970C880  TEAMFORM_BAD
  0x8970C890  TEAMFORM_STUTTERING
  0x8970C8A4  TEAMFORM_GOOD
  0x8970C8B4  TEAMFORM_AMAZING
  0x8970C8C8  MATCH_RESULT_LOSS
  0x8970C8DC  MATCH_RESULT_DRAW
  0x8970C8F0  MATCH_RESULT_WIN
  0x8970C904  TEAM_SKILL_WEAK
  0x8970C914  TEAM_SKILL_AVERAGE
  0x8970C928  TEAM_SKILL_GOOD
  0x8970C938  TEAM_SKILL_BIG
  0x8970C948  TXT_EASFC_MESSAGE_FRIEND
  0x8970C964  TXT_EASFC_CHAT_RESTRICTED
  0x8970C980  TXT_EASFC_VIEW_GAMERCARD
  0x8970C99C  TXT_ONLINE_COOP_SEASONS_FRIEND_ONLINE
  0x8970C9C4  TXT_ONLINE_COOP_SEASONS_FRIENDS_ONLINE
  0x8970C9EC  CM_Back
  0x8970C9F4  clubLogoPath
  0x8970CA04  statusIndicator
  0x8970CA14  blazeId
  0x8970CA1C  nucleusId
  0x8970CA28  optionTopButtonLabel
  0x8970CA40  backButtonLabel
  0x8970CA50  advanceButtonLabel
  0x8970CA64  alertsFeatureDown
  0x8970CA78  chatRestricted
  0x8970CA88  user_rank
  0x8970CA94  user_level
  0x8970CAA0  user_club
  0x8970CAAC  user_id
  0x8970CAB4  fccCap
  0x8970CABC  dailyXPCap
  0x8970CAC8  fccToday
  0x8970CAD4  xpAvg
  0x8970CADC  xpToday
  0x8970CAE4  myleague
  0x8970CAF0  myclub
  0x8970CAF8  description
  0x8970CB04  HSPACER_1
  0x8970CB10  LEVEL
  0x8970CB18  PRICE
  0x8970CB20  COIN
  0x8970CB28  ITEM_DESCRIPTION
  0x8970CB3C  ITEM_NAME
  0x8970CB48  ITEM
  0x8970CB50  TITLE
  0x8970CB58  ACTION
  0x8970CB60  DESCRIPTION
  0x8970CB6C  HSPACER
  0x8970CB74  STATUS
  0x8970CB7C  LOGO
  0x8970CB84  DESCRIPTION_DEFAULT
  0x8970CB98  LENGTH
--- 0x8970CF54..0x8970D1E8  47 noms ---
  0x8970CF54  teamId
  0x8970CF5C  assetPath
  0x8970CF68  show
  0x8970CF70  globalLeague
  0x8970CF80  standardLeagueId
  0x8970CF94  gamerTagMsg
  0x8970CFA0  storeItemPurchasedWidget
  0x8970CFBC  numCurrency
  0x8970CFC8  numLockedItems
  0x8970CFD8  numOwnedItems
  0x8970CFE8  numItems
  0x8970CFF4  itemsOwned
  0x8970D000  itemsTotal
  0x8970D00C  itemCount
  0x8970D018  isLocked
  0x8970D024  maximumQuantity
  0x8970D034  ownedQuantity
  0x8970D044  isPromotion
  0x8970D050  isPurchased
  0x8970D05C  smallAssetPath
  0x8970D06C  subtype
  0x8970D074  onlineCount
  0x8970D080  prevCurrency
  0x8970D090  dayCurrencyBonus
  0x8970D0A4  dayCurrencyBase
  0x8970D0B4  dayCurrencyAllowance
  0x8970D0CC  weekExpBonus
  0x8970D0DC  weekExpBase
  0x8970D0E8  dayExpBonus
  0x8970D0F4  dayExpBase
  0x8970D100  dayExpAllowance
  0x8970D110  onMainMenu
  0x8970D11C  widgetType
  0x8970D128  connectionState
  0x8970D138  showActionCallout
  0x8970D14C  showCallout
  0x8970D158  showAlert
  0x8970D164  showNews
  0x8970D170  tickerWidgetCalloutLabel
  0x8970D18C  menuWidgetCalloutLabel
  0x8970D1A4  isMaxLevel
  0x8970D1B0  currLevelExpMax
  0x8970D1C0  currLevelExpMin
  0x8970D1D0  exp
  0x8970D1D4  teamID
  0x8970D1DC  prevLevel
  0x8970D1E8  userID
--- 0x8970DA48..0x8970DE2C  67 noms ---
  0x8970DA48  font
  0x8970DA50  index
  0x8970DA58  imagePath
  0x8970DA64  right
  0x8970DA6C  center
  0x8970DA74  justify
  0x8970DA7C  left
  0x8970DA84  newGoalsForPro
  0x8970DA94  newGoalsAgainst
  0x8970DAA4  newGoalsFor
  0x8970DAB0  penaltyScores
  0x8970DAC0  penaltySaves
  0x8970DAD0  winTime
  0x8970DAD8  winBy
  0x8970DAE0  outcome
  0x8970DAE8  Objective
  0x8970DAF4  accessorycolourcode4
  0x8970DB0C  accessorycolourcode3
  0x8970DB24  accessorycolourcode2
  0x8970DB3C  accessorycolourcode1
  0x8970DB54  bodytypecode
  0x8970DB64  aggression
  0x8970DB70  preferredposition4
  0x8970DB84  preferredposition3
  0x8970DB98  preferredposition2
  0x8970DBAC  preferredposition1
  0x8970DBC0  customplayerid
  0x8970DBD0  CustomPlayer
  0x8970DBE0  showNIS
  0x8970DBE8  triggernis
  0x8970DBF4  hasred
  0x8970DBFC  hasyellow
  0x8970DC08  isHomeTeam
  0x8970DC14  positionid
  0x8970DC20  Player
  0x8970DC28  awaycaptaindbid
  0x8970DC38  homecaptaindbid
  0x8970DC48  awaymatchtier
  0x8970DC58  homematchtier
  0x8970DC68  crowdtournamentstate
  0x8970DC80  isrivalmatch
  0x8970DC90  refereeid
  0x8970DC9C  awaykitver
  0x8970DCA8  homekitver
  0x8970DCB4  audioid
  0x8970DCBC  prevawayscore
  0x8970DCCC  prevhomescore
  0x8970DCDC  awaysubsremaining
  0x8970DCF0  homesubsremaining
  0x8970DD04  crowdattendence
  0x8970DD14  awayformation
  0x8970DD24  homeformation
  0x8970DD34  altitude
  0x8970DD40  secondaryobjective2value
  0x8970DD5C  secondaryobjective1value
  0x8970DD78  primaryobjectivevalue
  0x8970DD90  secondaryobjectiveid2
  0x8970DDA8  secondaryobjectiveid1
  0x8970DDC0  primaryobjectiveid
  0x8970DDD4  difficultylevel
  0x8970DDE4  ballposz
  0x8970DDF0  awayscore
  0x8970DDFC  homescore
  0x8970DE08  awayteamid
  0x8970DE14  hometeamid
  0x8970DE20  userteam
  0x8970DE2C  Scenario
--- 0x8970E2CC..0x8970E7CC  64 noms ---
  0x8970E2CC  pfycLeaderboardViewModel
  0x8970E2E8  newsTileViewModel
  0x8970E2FC  catalogTileViewModel
  0x8970E314  alertTileViewModel
  0x8970E328  easfcViewModel
  0x8970E338  easfcRecommendViewModel
  0x8970E350  powAlertsViewModel
  0x8970E364  powNewsViewModel
  0x8970E378  easfcHubViewModel
  0x8970E38C  reconnectingToPOW
  0x8970E3A0  connectedToPOW
  0x8970E3B0  checkConnection
  0x8970E3C0  storeRetrieveComplete
  0x8970E3D8  storeRetrieveGifts
  0x8970E3EC  recepientScore
  0x8970E3FC  recepientClubId
  0x8970E40C  recepientGamerTag
  0x8970E420  senderScore
  0x8970E42C  senderClubId
  0x8970E43C  senderGamerTag
  0x8970E44C  TXT_EASFC_POINTS
  0x8970E460  TXT_EASFC_SKILLGAME_SUMMARY
  0x8970E47C  playerCard
  0x8970E488  playerLastName
  0x8970E498  playerFirstName
  0x8970E4A8  FIFAULTIMATETEAM
  0x8970E4BC  earnings
  0x8970E4C8  highlighted
  0x8970E4D4  tableHeader
  0x8970E4E0  LOC_LB_CAT_COMPETITOR_LEADERBOARD
  0x8970E504  LOC_LB_CAT_TRADER_LEADERBOARD
  0x8970E524  LOC_LB_CAT_COLLECTOR_LEADERBOARD
  0x8970E548  LOC_LB_CAT_BUILDER_LEADERBOARD
  0x8970E568  LOC_LB_CAT_SEASON_POINTS_LEADERBOARD
  0x8970E590  LOC_LB_CAT_SEASON_CHAMP_LEADERBOARD
  0x8970E5B4  LOC_LB_CAT_SEASON_PLAYED_LEADERBOARD
  0x8970E5DC  TXT_EASFC_FUT_LEADERBOARD_TABLE_HEADER
  0x8970E604  match
  0x8970E60C  point
  0x8970E614  cupId
  0x8970E61C  careerType
  0x8970E628  finalLabel
  0x8970E634  Final
  0x8970E63C  semiFinalLabel
  0x8970E64C  Semifinals
  0x8970E658  TXT_EASFC_CAREER_CUP_SUMMARY
  0x8970E678  TXT_EASFC_CAREER_PLAYER_SUMMARY
  0x8970E698  ageLabel
  0x8970E6A4  Age
  0x8970E6A8  overallLabel
  0x8970E6B8  Overall_abbr3
  0x8970E6C8  TXT_EASFC_TRANSFER_TO
  0x8970E6E0  transferFromId
  0x8970E6F0  countryId
  0x8970E6FC  pitchArea
  0x8970E708  TXT_EASFC_ALERTS_TITLE_MESSAGE
  0x8970E728  TXT_EASFC_BUY_WC_TITLE
  0x8970E744  MENU
  0x8970E74C  TXT_EASFC_RECONNECTING
  0x8970E764  TXT_EASFC_PLEASE_SIGN_IN
  0x8970E780  TXT_EASFC_SERVER_ERROR
  0x8970E798  TXT_EASFC_RECONNECT_PROMPT
  0x8970E7B4  TXT_EASFC_HUB_PROMPT
  0x8970E7CC  TICKER
1247 noms au total
